instanceId,priority,environment,status,actualResult,evidenceIds,bugIds,runner,durationMinutes,notes
K03[toggle-focus-mode],TP1,ENV-D1,NOT_RUN,,,,,,
K03[open-export],TP1,ENV-D1,NOT_RUN,,,,,,
K03[open-ai-settings],TP1,ENV-D1,NOT_RUN,,,,,,
K04[Ctrl+S],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Ctrl+Shift+N],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Ctrl+Shift+D],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Alt+Up],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Alt+Down],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Ctrl+Enter],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Ctrl+P],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Ctrl+Shift+F],TP0,ENV-D1,NOT_RUN,,,,,,
K04[Ctrl+Shift+E],TP0,ENV-D1,NOT_RUN,,,,,,
K05,TP1,ENV-D1,NOT_RUN,,,,,,
K06,TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+B],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+I],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Backtick],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Shift+C],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Shift+T],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Shift+M],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Shift+Q],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+H],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Alt+1],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Alt+2],TP1,ENV-D1,NOT_RUN,,,,,,
K07[Ctrl+Alt+3],TP1,ENV-D1,NOT_RUN,,,,,,
L01,TP0,ENV-D1,NOT_RUN,,,,,,
L02,TP0,ENV-D1,NOT_RUN,,,,,,
L03,TP1,ENV-D1,NOT_RUN,,,,,,
L04,TP1,ENV-D1,NOT_RUN,,,,,,
L05,TP0,ENV-D1,NOT_RUN,,,,,,
L06,TP1,ENV-D1,NOT_RUN,,,,,,
L07,TP1,ENV-D1,NOT_RUN,,,,,,
L08,TP1,ENV-D1,NOT_RUN,,,,,,
L09,TP1,ENV-D1,NOT_RUN,,,,,,
L10[FX-REC-01],TP2,ENV-D1,NOT_RUN,,,,,,
L10[FX-REC-02],TP2,ENV-D1,NOT_RUN,,,,,,
L10[FX-REC-03],TP2,ENV-D1,NOT_RUN,,,,,,
L11,TP2,ENV-D1,NOT_RUN,,,,,,
M01[320x568],TP0,ENV-R1,NOT_RUN,,,,,,
M01[375x667],TP0,ENV-R1,NOT_RUN,,,,,,
M01[768x1024],TP0,ENV-R1,NOT_RUN,,,,,,
M02,TP1,ENV-M1,NOT_RUN,,,,,,
M03,TP1,ENV-D1,NOT_RUN,,,,,,
M04,TP1,ENV-D1,NOT_RUN,,,,,,
M05,TP1,ENV-D1,NOT_RUN,,,,,,
M06,TP1,ENV-D1,NOT_RUN,,,,,,
M07,TP0,ENV-D1,NOT_RUN,,,,,,
M08,TP0,ENV-D1,NOT_RUN,,,,,,
M09,TP1,ENV-D1,NOT_RUN,,,,,,
M10,TP1,ENV-D1,NOT_RUN,,,,,,
M11,TP0,ENV-D1,NOT_RUN,,,,,,
M12,TP0,ENV-D1,NOT_RUN,,,,,,
M13,TP1,ENV-D1,NOT_RUN,,,,,,
M14,TP1,ENV-D1,NOT_RUN,,,,,,
M15,TP1,ENV-D1,NOT_RUN,,,,,,
M16,TP1,ENV-D1,NOT_RUN,,,,,,
F18,TP0,ENV-D1,NOT_RUN,,,,,,
F19,TP0,ENV-D1,NOT_RUN,,,,,,
F20,TP1,ENV-D1,NOT_RUN,,,,,,
F21,TP0,ENV-D1,NOT_RUN,,,,,,
F22,TP1,ENV-D1,NOT_RUN,,,,,,
F23,TP1,ENV-D1,NOT_RUN,,,,,,
M17,TP0,ENV-D1,NOT_RUN,,,,,,
M18,TP0,ENV-D1,NOT_RUN,,,,,,
M19,TP0,ENV-D1,NOT_RUN,,,,,,
M20,TP1,ENV-D1,NOT_RUN,,,,,,
N01,TP0,ENV-CI,NOT_RUN,,,,,,
N02,TP0,ENV-CI,NOT_RUN,,,,,,
N03,TP0,ENV-CI,NOT_RUN,,,,,,
N04,TP0,ENV-CI,NOT_RUN,,,,,,
N05,TP0,ENV-CI,NOT_RUN,,,,,,
N06,TP0,ENV-CI,NOT_RUN,,,,,,
N07,TP0,ENV-CI,NOT_RUN,,,,,,
N08,TP0,ENV-CI,NOT_RUN,,,,,,
N09,TP0,ENV-CI,NOT_RUN,,,,,,
N10,TP0,ENV-CI,NOT_RUN,,,,,,
N11,TP1,ENV-CI,NOT_RUN,,,,,,
N12,TP0,ENV-CI,NOT_RUN,,,,,,
O01,TP0,ENV-CI,NOT_RUN,,,,,,
O02,TP0,ENV-CI,NOT_RUN,,,,,,
O03,TP0,ENV-CI,NOT_RUN,,,,,,
O04,TP0,ENV-CI,NOT_RUN,,,,,,
O05,TP0,ENV-CI,NOT_RUN,,,,,,
O06,TP1,ENV-CI,NOT_RUN,,,,,,
O07,TP0,ENV-CI,NOT_RUN,,,,,,
O08,TP0,ENV-CI,NOT_RUN,,,,,,
O09,TP0,ENV-CI,NOT_RUN,,,,,,
O10,TP1,ENV-CI,NOT_RUN,,,,,,
O11,TP0,ENV-CI,NOT_RUN,,,,,,
O12,TP0,ENV-CI,NOT_RUN,,,,,,
